title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Iconic Cuban Collar Jacket (Genderless) in Dark Ebony/Indigo,Shirt,S,0.88,A,Yes,Yes,Indigo,160,1.144,0.1739,0.8665,0.1435,0.00072,0.1461,1.1568,0
Iconic Cuban Collar Jacket (Genderless) in Dark Ebony/Indigo,Shirt,M,1.0,A,Yes,Yes,Indigo,160,1.3,0.1976,0.9846,0.163,0.00082,0.166,1.3144,0
Iconic Cuban Collar Jacket (Genderless) in Dark Ebony/Indigo,Shirt,L,1.1,A,Yes,Yes,Indigo,160,1.43,0.2174,1.0833,0.1793,0.0009,0.1826,1.4461,0
Iconic Cuban Collar Jacket (Genderless) in Dark Ebony/Indigo,Shirt,XL,1.2,A,Yes,Yes,Indigo,160,1.56,0.2371,1.1815,0.1956,0.00098,0.1992,1.5773,0
S Trousers (Genderless) (Pre-order)',Pants,S,0.88,A,Yes,No,Undyed,160,1.76,0.2675,1.3330,0.2207,0,0.2247,1.7784,0
S Trousers (Genderless) (Pre-order)',Pants,XL,1.2,A,Yes,No,Undyed,160,2.4,0.3648,1.8178,0.3009,0,0.3064,2.4251,0
S Trousers (Genderless) (Pre-order)',Pants,FREE-SIZE,1.0,A,Yes,No,Undyed,160,2.0,0.304,1.5148,0.2508,0,0.2554,2.0210,0
Two-way Blouse,Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Two-way Blouse,Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Two-way Blouse,Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Two-way Blouse,Shirt,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Peter Pan Collar Loose Blouse,Shirt,F,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Women's Relaxed-fit Collarless Blazer (Pre-order)',jackets,S,0.88,A,Yes,No,Undyed,225,1.848,0.395,1.9683,0.3258,0,0.3318,2.6259,0
Women's Relaxed-fit Collarless Blazer (Pre-order)',jackets,M,1.0,A,Yes,No,Undyed,225,2.1,0.4489,2.2369,0.3703,0,0.3771,2.9843,0
Women's Relaxed-fit Collarless Blazer (Pre-order)',jackets,L,1.1,A,Yes,No,Undyed,225,2.31,0.4938,2.4606,0.4073,0,0.4148,3.2827,0
Women's Relaxed-fit Collarless Blazer (Pre-order)',jackets,XL,1.2,A,Yes,No,Undyed,225,2.52,0.5387,2.6843,0.4444,0,0.4525,3.5812,0
Men’s *NEW* Relaxed-fit Mandarin Collar Longsleeve Shirt,Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Men’s *NEW* Relaxed-fit Mandarin Collar Longsleeve Shirt,Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Men’s *NEW* Relaxed-fit Mandarin Collar Longsleeve Shirt,Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Men’s *NEW* Relaxed-fit Mandarin Collar Longsleeve Shirt,Shirt,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Genderless Cuban Collar Shortsleeve Shirt in Natural Brown,Shirt,S,0.88,A,Yes,No,Natural,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Genderless Cuban Collar Shortsleeve Shirt in Natural Brown,Shirt,M,1.0,A,Yes,No,Natural,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Genderless Cuban Collar Shortsleeve Shirt in Natural Brown,Shirt,L,1.1,A,Yes,No,Natural,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Genderless Cuban Collar Shortsleeve Shirt in Natural Brown,Shirt,XL,1.2,A,Yes,No,Natural,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Tuck Shorts (Genderless) in Enmon Green,Trousers,S,0.88,A,Yes,Yes,Enmon,160,2.464,0.3745,1.8661,0.3089,0.00155,0.3146,2.4912,0
Tuck Shorts (Genderless) in Enmon Green,Trousers,M,1.0,A,Yes,Yes,Enmon,160,2.8,0.4256,2.1208,0.3511,0.00176,0.3575,2.8312,0
Tuck Shorts (Genderless) in Enmon Green,Trousers,L,1.1,A,Yes,Yes,Enmon,160,3.08,0.4682,2.3330,0.3862,0.00193,0.3933,3.1144,0
Tuck Shorts (Genderless) in Enmon Green,Trousers,XL,1.2,A,Yes,Yes,Enmon,160,3.36,0.5107,2.5448,0.4213,0.00211,0.429,3.3972,0
Capped Sleeve Layered Back Top (Pre-order)',Top,S,0.88,A,Yes,Yes,Huchang-Red,130,0.88,0.1087,0.5417,0.0897,0.00045,0.0913,0.7231,0
Capped Sleeve Layered Back Top (Pre-order)',Top,M,1.0,A,Yes,Yes,Huchang-Red,130,1.0,0.1235,0.6154,0.1019,0.00051,0.1037,0.8215,0
