title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Organic & Natural White Cotton /Meter,Fabric,F,1.0,A,No,No,Undyed,160,1.0,0.152,0.7574,0.1254,0,0,0.8828,0
Organic & Natural Handspun Cotton Assorted Solids,Fabric,F,1.0,A,No,No,Undyed,160,1.0,0.152,0.7574,0.1254,0,0,0.8828,0
Organic & Natural Handspun Cotton Plaids & Stripes,Fabric,F,1.0,A,No,No,Undyed,160,1.0,0.152,0.7574,0.1254,0,0,0.8828,0
Cropped Top in Natural White,Top,M,1.0,A,Yes,No,Undyed,130,1.0,0.1235,0.6154,0.1019,0,0.1037,0.8210,0
Cropped Top in Natural White,Top,L,1.1,A,Yes,No,Undyed,130,1.1,0.1358,0.6767,0.112,0,0.1141,0.9028,0
Cropped Top in Natural White,Top,XL,1.2,A,Yes,No,Undyed,130,1.2,0.1482,0.7385,0.1223,0,0.1245,0.9853,0
Light Blouse in Natural White,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Light Blouse in Natural White,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Light Blouse in Natural White,Blouse,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Signature Skirt (Pre-order)',Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Signature Skirt (Pre-order)',Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Men's Relaxed-fit Blazer in Natural Brown,jackets,S,0.88,A,Yes,No,Natural,225,1.848,0.395,1.9683,0.3258,0,0.3318,2.6259,0
Men's Relaxed-fit Blazer in Natural Brown,jackets,M,1.0,A,Yes,No,Natural,225,2.1,0.4489,2.2369,0.3703,0,0.3771,2.9843,0
Men's Relaxed-fit Blazer in Natural Brown,jackets,L,1.1,A,Yes,No,Natural,225,2.31,0.4938,2.4606,0.4073,0,0.4148,3.2827,0
Men's Relaxed-fit Blazer in Natural Brown,jackets,XL,1.2,A,Yes,No,Natural,225,2.52,0.5387,2.6843,0.4444,0,0.4525,3.5812,0
Couch Throw (Pre-order),Throw,F,1.0,A,No,No,Undyed,225,2.0,0.4275,2.1302,0.3526,0,0,2.4828,0
V-neck Tank Top in Natural White,Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
V-neck Tank Top in Natural White,Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
V-neck Tank Top in Natural White,Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Relaxed-fit Midi Skirt (Pre-order),Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Relaxed-fit Midi Skirt (Pre-order),Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Relaxed-fit Midi Skirt (Pre-order),Skirt,L,1.1,A,Yes,No,Undyed,160,1.54,0.2341,1.1665,0.1931,0,0.1966,1.5562,0
Relaxed-fit Midi Skirt (Pre-order),Skirt,XL,1.2,A,Yes,No,Undyed,160,1.68,0.2554,1.2727,0.2107,0,0.2145,1.6979,0
Relaxed-fit Midi Skirt (Pre-order),Skirt,XXL,1.3,A,Yes,No,Undyed,160,1.82,0.2766,1.3783,0.2282,0,0.2323,1.8388,0
Puff-sleeve Cropped Jacket (Pre-order)',Shirt,F,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Drawstring Shorts - Patch Pocket  (Pre-order)',Pants,M,1.0,A,Yes,No,Undyed,160,2.0,0.304,1.5148,0.2508,0,0.2554,2.0210,0
Drawstring Shorts - Patch Pocket  (Pre-order)',Pants,L,1.1,A,Yes,No,Undyed,160,2.2,0.3344,1.6663,0.2758,0,0.2809,2.2230,0
Weekend Drawstring Shorts',Pants,M,1.0,A,Yes,No,Undyed,160,2.0,0.304,1.5148,0.2508,0,0.2554,2.0210,0
Weekend Drawstring Shorts',Pants,L,1.1,A,Yes,No,Undyed,160,2.2,0.3344,1.6663,0.2758,0,0.2809,2.2230,0
Cardigan in Natural Brown,Blouse,F,1.0,A,Yes,No,Natural,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Tuck Trousers (Women's) in Ebony Brown White,Trousers,S,0.88,A,Yes,Yes,Ebony,160,2.464,0.3745,1.8661,0.3089,0.00155,0.3146,2.4912,0
Tuck Trousers (Women's) in Ebony Brown White,Trousers,M,1.0,A,Yes,Yes,Ebony,160,2.8,0.4256,2.1208,0.3511,0.00176,0.3575,2.8312,0
Tuck Trousers (Women's) in Ebony Brown White,Trousers,L,1.1,A,Yes,Yes,Ebony,160,3.08,0.4682,2.3330,0.3862,0.00193,0.3933,3.1144,0
Tuck Trousers (Women's) in Ebony Brown White,Trousers,XL,1.2,A,Yes,Yes,Ebony,160,3.36,0.5107,2.5448,0.4213,0.00211,0.429,3.3972,0
Genderless Yukata in Natural White,Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Genderless Yukata in Natural White,Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Genderless Yukata in Natural White,Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Tuck Shorts (Women's) (Pre-order)',Trousers,S,0.88,A,Yes,No,Undyed,160,2.464,0.3745,1.8661,0.3089,0,0.3146,2.4896,0
Tuck Shorts (Women's) (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Tuck Shorts (Women's) (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Tuck Shorts (Women's) (Pre-order)',Trousers,XL,1.2,A,Yes,No,Undyed,160,3.36,0.5107,2.5448,0.4213,0,0.429,3.3951,0
Coat Dress (Pre-order)',Dress,M,1.0,A,Yes,No,Undyed,160,1.8,0.2736,1.3633,0.2257,0,0.2298,1.8188,0
Coat Dress (Pre-order)',Dress,L,1.1,A,Yes,No,Undyed,160,1.98,0.301,1.4999,0.2483,0,0.2528,2.0010,0
Coat Dress (Pre-order)',Dress,XL,1.2,A,Yes,No,Undyed,160,2.16,0.3283,1.6359,0.2708,0,0.2758,2.1825,0
Cropped Loose Trousers in Natural White,Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Cropped Loose Trousers in Natural White,Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Maxi Skirt (Pre-order)',Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Maxi Skirt (Pre-order)',Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Maxi Skirt (Pre-order)',Skirt,L,1.1,A,Yes,No,Undyed,160,1.54,0.2341,1.1665,0.1931,0,0.1966,1.5562,0
The New Blazer in Natural White,jackets,S,0.88,A,Yes,No,Undyed,225,1.848,0.395,1.9683,0.3258,0,0.3318,2.6259,0
The New Blazer in Natural White,jackets,M,1.0,A,Yes,No,Undyed,225,2.1,0.4489,2.2369,0.3703,0,0.3771,2.9843,0
The New Blazer in Natural White,jackets,L,1.1,A,Yes,No,Undyed,225,2.31,0.4938,2.4606,0.4073,0,0.4148,3.2827,0
The New Blazer in Natural White,jackets,XL,1.2,A,Yes,No,Undyed,225,2.52,0.5387,2.6843,0.4444,0,0.4525,3.5812,0
Jogger Pants (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Jogger Pants (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Jogger Pants (Pre-order)',Trousers,XL,1.2,A,Yes,No,Undyed,160,3.36,0.5107,2.5448,0.4213,0,0.429,3.3951,0
Pants Bags in White/Brown Ebony,Trousers,M,1.0,A,Yes,Yes,Ebony,160,2.8,0.4256,2.1208,0.3511,0.00176,0.3575,2.8312,0
Pants Bags in White/Brown Ebony,Trousers,L,1.1,A,Yes,Yes,Ebony,160,3.08,0.4682,2.3330,0.3862,0.00193,0.3933,3.1144,0
Tuck Sleeveless Blouse,Blouse,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Tuck Sleeveless Blouse,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Tuck Sleeveless Blouse,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Tuck Sleeveless Blouse,Blouse,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Two Tone Shortsleeve Dress (Pre-order)',Dress,M,1.0,A,Yes,No,Undyed,160,1.8,0.2736,1.3633,0.2257,0,0.2298,1.8188,0
Two Tone Shortsleeve Dress (Pre-order)',Dress,L,1.1,A,Yes,No,Undyed,160,1.98,0.301,1.4999,0.2483,0,0.2528,2.0010,0
Two Tone Shortsleeve Dress (Pre-order)',Dress,XL,1.2,A,Yes,No,Undyed,160,2.16,0.3283,1.6359,0.2708,0,0.2758,2.1825,0
Roundneck Sleeveless Dress (Pre-order)',Dress,M,1.0,A,Yes,No,Undyed,160,1.8,0.2736,1.3633,0.2257,0,0.2298,1.8188,0
Roundneck Sleeveless Dress (Pre-order)',Dress,L,1.1,A,Yes,No,Undyed,160,1.98,0.301,1.4999,0.2483,0,0.2528,2.0010,0
Roundneck Sleeveless Dress (Pre-order)',Dress,XL,1.2,A,Yes,No,Undyed,160,2.16,0.3283,1.6359,0.2708,0,0.2758,2.1825,0
V Neck Balloon Blouse (Plain) in Natural White,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
V Neck Balloon Blouse (Plain) in Natural White,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Handkerchief,Handkerchief,F,1.0,A,No,No,Undyed,100,0.3,0.0285,0.1420,0.0235,0,0,0.1655,0
Sakon Nakhon Minimalist Indigo Stripe,Scarf,F,1.0,A,No,Yes,Indigo,100,0.9,0.0855,0.4260,0.0705,0.00035,0,0.4969,0
Cropped Tank Tops in  Ebony Brown,Tank Top,M,1.0,A,Yes,Yes,Ebony,100,0.6,0.057,0.2840,0.047,0.00024,0.0479,0.3791,0
Cropped Tank Tops in  Ebony Brown,Tank Top,L,1.1,A,Yes,Yes,Ebony,100,0.66,0.0627,0.3124,0.0517,0.00026,0.0527,0.4171,0
Cropped Tank Tops in  Ebony Brown,Tank Top,XL,1.2,A,Yes,Yes,Ebony,100,0.72,0.0684,0.3408,0.0564,0.00028,0.0575,0.4550,0
Wide Trousers (Pre-order)',Trousers,M,1.0,A,Yes,No,Undyed,160,2.8,0.4256,2.1208,0.3511,0,0.3575,2.8294,0
Wide Trousers (Pre-order)',Trousers,L,1.1,A,Yes,No,Undyed,160,3.08,0.4682,2.3330,0.3862,0,0.3933,3.1125,0
Two-way Dress (Pre-order)',Dress,S,0.88,A,Yes,No,Undyed,160,1.584,0.2408,1.1999,0.1986,0,0.2023,1.6008,0
Two-way Dress (Pre-order)',Dress,M,1.0,A,Yes,No,Undyed,160,1.8,0.2736,1.3633,0.2257,0,0.2298,1.8188,0
Two-way Dress (Pre-order)',Dress,L,1.1,A,Yes,No,Undyed,160,1.98,0.301,1.4999,0.2483,0,0.2528,2.0010,0
Side Single Pleat Skirt (Pre-order)',Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Side Single Pleat Skirt (Pre-order)',Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Side Single Pleat Skirt (Pre-order)',Skirt,L,1.1,A,Yes,No,Undyed,160,1.54,0.2341,1.1665,0.1931,0,0.1966,1.5562,0
Side Single Pleat Skirt (Pre-order)',Skirt,XL,1.2,A,Yes,No,Undyed,160,1.68,0.2554,1.2727,0.2107,0,0.2145,1.6979,0
Signature Trousers in Ebony Brown,Trousers,S,0.88,A,Yes,Yes,Ebony,160,2.464,0.3745,1.8661,0.3089,0.00155,0.3146,2.4912,0
Signature Trousers in Ebony Brown,Trousers,M,1.0,A,Yes,Yes,Ebony,160,2.8,0.4256,2.1208,0.3511,0.00176,0.3575,2.8312,0
Signature Trousers in Ebony Brown,Trousers,L,1.1,A,Yes,Yes,Ebony,160,3.08,0.4682,2.3330,0.3862,0.00193,0.3933,3.1144,0
Folkcharm Journey,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0153,0.1213,0
Coasters,Accessory,F,1.0,A,No,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0000,0.1059,0
Tote to the Future (M) with Zipper,Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Khunloei's Doll,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0153,0.1213,0
Seaweed & Onigiri / Hotate Phone Pouch *New Click to more*,Pouch,F,1.0,A,Yes,No,Undyed (assumed),160,0.35,0.0532,0.2651,0.0439,0,0.0447,0.3537,0
LoomFolio Crossbody Bag,Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Seaweed & Onigiri / Hotate Phone Pouch,Pouch,F,1.0,A,Yes,No,Undyed (assumed),160,0.35,0.0532,0.2651,0.0439,0,0.0447,0.3537,0
Tote to the Future (L) with Zipper,Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Cross-body Bag,Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Tidy Ties (Piece),Accessory,F,1.0,A,Yes,No,Undyed (assumed),100,0.03,0.0029,0.0142,0.0024,0,0.0024,0.0189,0
Drawstring Bag,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0153,0.1213,0
Card Holder,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0153,0.1213,0
Tidy Ties,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),100,0.06,0.0057,0.0284,0.0047,0,0.0048,0.0379,0
Tote to the Future (M),Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Tote to the Future (L),Shopping Bag,F,1.0,A,Yes,No,Undyed (assumed),160,0.9,0.1368,0.6817,0.1128,0,0.1149,0.9094,0
Hair Band,Scrunchy,F,1.0,A,Yes,No,Undyed (assumed),100,0.1,0.0095,0.0473,0.0078,0,0.0080,0.0632,0
Placemat,Accessory,F,1.0,A,No,No,Undyed (assumed),160,0.6,0.0912,0.4544,0.0752,0,0.0000,0.5296,0
Scrunchy (Plain),Scrunchy,F,1.0,A,Yes,No,Undyed (assumed),100,0.08,0.0076,0.0379,0.0063,0,0.0064,0.0505,0
Scrunchy (w/Bow),Scrunchy,F,1.0,A,Yes,No,Undyed (assumed),100,0.1,0.0095,0.0473,0.0078,0,0.0080,0.0632,0
Key Holder (S),Key Holder,F,1.0,A,Yes,No,Undyed (assumed),160,0.05,0.0076,0.0379,0.0063,0,0.0064,0.0505,0
Cotton Flower Bagcharm,Bagcharm,F,1.0,A,Yes,No,Undyed (assumed),160,0.12,0.0182,0.0909,0.0150,0,0.0153,0.1213,0
